               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05605,            0.011511,           0.0047028,             0.81936,             0.67515,             0.79519,             0.42047,            0.033481,           0.0066918,          0.00080989,            0.070012,            0.003332,            0.003332
                   1,            0.039943,           0.0074386,          0.00081378,             0.78209,              0.7237,             0.78898,             0.41046,            0.032394,           0.0055179,          0.00068403,            0.039946,           0.0065993,           0.0065993
                   2,            0.039705,           0.0067844,          0.00068468,              0.8167,             0.69005,             0.79057,             0.41861,            0.034745,           0.0055115,          0.00056118,            0.009814,           0.0098007,           0.0098007
                   3,            0.040317,            0.007187,          0.00050178,             0.80313,             0.69547,             0.78579,             0.38043,            0.035815,           0.0053419,          0.00033022,            0.009703,            0.009703,            0.009703
                   4,            0.036907,           0.0067542,           0.0003446,             0.86256,             0.78382,             0.85194,             0.45287,            0.031546,           0.0050637,          0.00026736,            0.009703,            0.009703,            0.009703
                   5,            0.035093,           0.0064894,          0.00028817,             0.91897,             0.81166,             0.88987,             0.49564,            0.028967,            0.004815,          0.00021859,            0.009604,            0.009604,            0.009604
                   6,             0.03373,           0.0062601,          0.00024746,             0.84408,             0.76305,             0.85282,             0.48786,            0.028697,           0.0048769,          0.00017663,            0.009505,            0.009505,            0.009505
                   7,            0.032263,           0.0060851,          0.00022463,             0.85282,             0.83661,              0.8915,             0.51261,            0.027867,           0.0045476,          0.00018836,            0.009406,            0.009406,            0.009406
                   8,            0.031531,             0.00584,          0.00020809,             0.89714,             0.84802,             0.90093,             0.52078,            0.027715,           0.0045583,          0.00014514,            0.009307,            0.009307,            0.009307
                   9,            0.031322,           0.0058953,          0.00019024,             0.91872,             0.83946,             0.91144,             0.53619,            0.027292,            0.004495,          0.00015078,            0.009208,            0.009208,            0.009208
                  10,            0.029929,           0.0057027,          0.00017705,             0.91535,             0.85971,              0.9189,             0.55324,            0.026325,           0.0042642,          0.00014617,            0.009109,            0.009109,            0.009109
                  11,            0.030041,             0.00562,          0.00017085,             0.90952,              0.8427,             0.90494,             0.55122,            0.026201,           0.0043644,          0.00013633,             0.00901,             0.00901,             0.00901
                  12,            0.029426,           0.0055973,          0.00016359,             0.90168,             0.85775,             0.91261,             0.55776,            0.025979,           0.0043205,             0.00012,            0.008911,            0.008911,            0.008911
                  13,            0.029042,           0.0055987,          0.00015126,             0.92329,             0.86056,             0.92477,             0.56853,            0.024886,            0.004408,          0.00011539,            0.008812,            0.008812,            0.008812
                  14,            0.028364,            0.005552,          0.00015317,             0.90107,             0.85702,             0.91847,             0.58025,            0.024802,           0.0041955,          0.00012091,            0.008713,            0.008713,            0.008713
                  15,            0.028223,           0.0056068,          0.00014152,             0.91366,             0.86902,             0.91823,              0.5612,            0.024813,           0.0041993,          0.00010964,            0.008614,            0.008614,            0.008614
                  16,            0.027564,           0.0054281,          0.00013335,             0.89688,             0.86553,              0.9159,             0.56527,             0.02525,           0.0041812,          0.00010702,            0.008515,            0.008515,            0.008515
                  17,            0.027847,            0.005365,          0.00013209,             0.92661,             0.87128,             0.92639,             0.57979,            0.024884,           0.0041626,          0.00011207,            0.008416,            0.008416,            0.008416
                  18,            0.026801,           0.0053809,          0.00012864,             0.88503,             0.88309,             0.92634,             0.58232,            0.024289,           0.0041896,          9.7699e-05,            0.008317,            0.008317,            0.008317
                  19,            0.026865,           0.0051581,          0.00012548,             0.89931,             0.88309,             0.92787,             0.58088,            0.024364,           0.0040279,          0.00010533,            0.008218,            0.008218,            0.008218
                  20,            0.027316,           0.0053137,          0.00012803,             0.91479,             0.87556,             0.92627,             0.59591,            0.023751,           0.0039827,          9.0758e-05,            0.008119,            0.008119,            0.008119
                  21,            0.026305,            0.005155,          0.00012029,             0.91398,             0.86045,             0.92767,             0.58517,            0.024533,           0.0041622,          9.5154e-05,             0.00802,             0.00802,             0.00802
                  22,             0.02643,           0.0052367,          0.00012008,             0.91596,             0.88109,             0.92562,             0.58966,            0.023833,           0.0041047,          8.8898e-05,            0.007921,            0.007921,            0.007921
